"","preference","competence","normative","regret","check_1","check_2","check_3","gender","age"
"127",-1,-3,-5,5,"4","9","2",2,"27"
"128",0,-1,0,2,"6","9","5",1,"43"
"129",-1,0,-1,1,"6","9","9",2,"47"
"130",4,4,-5,4,"6","9","9",1,"33"
"131",-3,-2,-3,-2,"5","5","3",2,"19"
"132",-3,-3,-2,5,"6","9","9",1,"30"
"133",-5,0,0,0,"6","9","9",1,"42"
"134",0,-1,1,-1,"5","7","4",1,"36"
"135",-3,-3,-5,5,"6","9","9",1,"58"
"136",1,-1,5,5,"6","9","9",2,"51"
"137",-1,1,-1,1,"7","7","3",1,"19"
"138",-1,0,-2,3,"6","7","9",1,"74"
"139",-1,0,-4,2,"6","5","8",2,"26"
"140",-5,0,0,5,"3","3","5",2,"46"
"141",0,1,-3,4,"2","8","8",2,"52"
"142",0,0,-3,0,"6","9","9",1,"59"
"143",0,3,5,4,"6","9","9",2,"65"
"144",0,-3,-3,3,"6","9","9",1,"33"
"145",-3,-3,-2,3,"2","7","5",2,"36"
"146",-2,0,-2,3,"6","9","9",2,"27"
"147",1,0,1,3,"6","9","9",2,"49"
"148",-3,0,-5,5,"6","9","9",1,"51"
"149",-4,-2,2,5,"6","9","9",2,"59"
"150",0,0,-1,0,"6","9","9",2,"33"
"151",-1,-1,-3,4,"6","9","9",1,"45"
"152",-2,0,-2,2,"6","9","9",1,"42"
"153",3,0,4,3,"3","7","5",2,"45"
"154",0,0,0,0,"6","7","8",2,"67"
"155",5,0,-5,-5,"6","9","9",2,"41"
"156",-2,-3,-2,2,"6","9","9",1,"37"
"157",-4,-2,0,5,"6","9","9",2,"56"
"158",-2,-2,-2,5,"6","9","9",2,"34"
"159",-1,-1,1,3,"6","9","9",2,"46"
"160",-3,-3,-3,5,"6","9","9",2,"28"
"161",-4,-2,-3,2,"6","9","9",2,"40"
"162",1,1,2,0,"2","9","3",1,"48"
"163",1,-4,2,0,"5","8","5",1,"40"
"164",-3,-2,-2,3,"6","9","9",2,"50"
"165",-3,-3,0,4,"6","9","9",2,"28"
"166",-2,0,-3,3,"6","9","9",2,"74"
"167",-1,0,0,3,"6","9","9",1,"72"
"168",-4,-2,-3,5,"6","9","9",1,"55"
"169",-1,0,1,2,"6","9","9",2,"30"
"170",0,0,-1,2,"6","9","9",2,"35"
"171",-4,-3,1,5,"3","6","6",2,"28"
"172",-2,0,0,4,"6","9","9",2,"33"
"173",0,0,1,1,"6","9","9",2,"27"
"174",0,0,-1,3,"6","9","9",2,"37"
"175",0,0,0,0,"6","9","9",1,"50"
"176",0,0,-3,2,"7","5","6",3,"56"
"177",2,-2,-3,3,"6","9","9",1,"66"
"178",-3,3,-1,4,"7","8","6",2,"37"
"179",0,0,1,4,"6","9","9",1,"38"
"180",-5,-2,-3,3,"6","9","9",1,"27"
"181",2,2,-2,-2,"8","8","8",1,"34"
"182",0,0,0,0,"6","9","9",1,"32"
"183",0,0,-3,5,"6","9","9",2,"62"
"184",-2,-4,-3,-5,"2","8","8",2,"30"
"185",-3,-4,-4,4,"6","9","9",2,"35"
"186",4,5,0,-5,"6","9","9",1,"18"
"187",5,0,5,0,"6","9","9",1,"30"
"188",0,0,-4,5,"6","9","9",1,"44"
"189",0,0,5,5,"5","5","9",2,"47"
"190",0,-1,-4,4,"6","9","9",2,"19"
"191",-2,-2,-3,5,"6","9","9",2,"29"
"192",2,0,-3,0,"3","5","5",2,"31"
"193",1,0,3,-4,"6","9","9",1,"24"
"194",-1,-1,-3,2,"1","8","7",2,"22"
"195",-1,-1,0,5,"6","9","9",2,"33"
"196",-2,0,2,0,"6","9","9",1,"36"
"197",1,2,3,1,"4","7","5",2,"24"
"198",3,0,3,0,"1","5","1",1,"53"
"199",-4,-2,-3,5,"2","9","3",2,"26"
"200",0,0,0,0,"6","9","9",2,"28"
"201",0,0,0,0,"6","9","9",1,"35"
"202",1,1,-5,5,"7","9","7",2,"34"
"203",0,0,0,0,"6","9","9",2,"51"
"204",-2,-1,-2,2,"6","9","9",1,"50"
"205",0,1,0,-2,"6","9","9",2,"52"
"206",0,0,3,4,"1","8","3",2,"31"
"207",0,0,0,0,"6","9","9",2,"64"
"208",0,0,0,3,"6","9","9",2,"26"
"209",0,3,1,-3,"2","8","4",2,"36"
"210",-2,0,-3,3,"3","3","6",2,"25"
"211",-3,-1,-3,5,"6","9","9",2,"50"
"212",0,0,2,0,"6","9","9",1,"38"
"213",0,5,4,-5,"6","9","9",2,"20"
"214",0,0,0,0,"6","9","9",2,"32"
"215",-2,0,-1,3,"6","9","9",2,"36"
"216",2,1,-2,5,"6","9","9",1,"27"
"217",-5,0,-5,5,"6","9","9",2,"24"
"218",0,0,0,0,"2","8","5",2,"46"
"219",0,-1,0,1,"6","9","9",1,"38"
"220",-3,-1,-4,5,"6","9","9",1,"26"
"221",1,3,-4,-5,"4","8","2",2,"35"
"222",-2,0,-5,5,"6","7","9",2,"40"
"223",3,2,0,3,"7","9","6",2,"31"
"224",-2,0,-3,2,"4","8","6",1,"27"
"225",0,0,0,0,"6","9","9",2,"38"
"226",4,1,2,2,"6","9","6",1,"32"
"227",0,0,3,0,"6","9","9",2,"54"
"228",-5,0,4,5,"5","8","8",2,"24"
"229",2,2,-2,0,"3","8","3",2,"24"
"230",0,0,-2,0,"6","9","9",2,"34"
"231",-1,-2,-1,3,"1","7","5",1,"19"
"232",-1,-1,1,3,"2","7","6",2,"53"
"233",0,0,2,2,"6","9","9",2,"34"
"234",0,0,2,0,"6","9","9",2,"19"
"235",0,2,2,-2,"6","9","9",2,"33"
"236",3,0,0,-5,"6","9","9",1,"31"
"237",-4,-4,-4,5,"1","8","5",2,"30"
"238",1,0,-1,2,"6","9","9",2,"19"
"239",-2,-1,0,4,"6","9","3",2,"48"
"240",0,0,4,3,"2","8","6",1,"46"
"241",-5,-1,-2,3,"6","9","9",1,"50"
"242",-1,-1,1,3,"6","9","9",1,"33"
"243",0,0,2,0,"2","7","5",2,"38"
"244",0,0,0,-4,"3","7","5",1,"59"
"245",-2,0,-2,-2,"1","7","3",2,"26"
"246",-2,-2,-3,3,"6","9","9",1,"43"
"247",1,-3,0,5,"5","6","6",2,"24"
"248",-4,-2,-3,3,"6","9","9",2,"25"
"249",-3,0,0,5,"6","9","3",2,"69"
"250",0,0,-1,5,"6","9","9",2,"39"
"251",0,-1,-2,2,"6","9","9",1,"61"
